
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
RC0805FR-071KL                   R005                             115   1      2   2   1 2           2 0 XSIG011323          (820-4-13)
RC0805FR-071KL                   R221                             116   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-071KL                   R221                             116   1      2   2   1 2           2 0 XSIG011610          (1226-2-13)
RC0805FR-071KL                   R224                             117   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-071KL                   R224                             117   1      2   2   1 2           2 0 XSIG011612          (1226-3-13)
RC0805FR-073K9L                  R106                             139   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-073K9L                  R106                             139   1      2   2   1 2           2 0 XSIG010920_2        (729-103-13)
RC0805FR-074K7L                  R227                             171   1      1   1   1 1           1 0 GS_EN               (729-18-13)
RC0805FR-074K7L                  R227                             171   1      2   2   1 2           2 0 XSIG011469          (729-96-13)
RC0805FR-074K7L                  R229                             170   1      1   1   1 1           1 0 XSIG011539          (820-10-13)
RC0805FR-074K7L                  R229                             170   1      2   2   1 2           2 0 XSIG011546          (820-12-13)
RC0805FR-074K7L                  R240                             173   1      1   1   1 1           1 0 K01                 (729-20-13)
RC0805FR-074K7L                  R240                             173   1      2   2   1 2           2 0 XSIG011384          (729-88-13)
RC0805FR-074K7L                  R242                             172   1      1   1   1 1           1 0 K02                 (729-21-13)
RC0805FR-074K7L                  R242                             172   1      2   2   1 2           2 0 XSIG011385          (729-89-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
RC0805FR-0710KL                  R017                              20   1      1   1   1 1           1 0 NRST                (729-6-13)
RC0805FR-0710KL                  R017                              20   1      2   2   1 2           2 0 +3.3V               (729-31-13)
RC0805FR-0710KL                  R018                              19   1      1   1   1 1           1 0 SWDIO.              (1236-1-13)
RC0805FR-0710KL                  R018                              19   1      2   2   1 2           2 0 +3.3V               (729-31-13)
RC0805FR-0710KL                  R019                              21   1      1   1   1 1           1 0 SWDCLK              (901-1-13)
RC0805FR-0710KL                  R019                              21   1      2   2   1 2           2 0 +3.3V               (729-31-13)
RC0805FR-0710KL                  R021                               8   1      1   1   1 1           1 0 XSIG011098          (729-32-13)
RC0805FR-0710KL                  R021                               8   1      2   2   1 2           2 0 +3.3V               (729-31-13)
RC0805FR-0710KL                  R022                               7   1      1   1   1 1           1 0 XSIG011160          (729-40-13)
RC0805FR-0710KL                  R022                               7   1      2   2   1 2           2 0 +3.3V               (729-31-13)
RC0805FR-0710KL                  R107                               6   1      1   1   1 1           1 0 +12V                (729-74-13)
RC0805FR-0710KL                  R107                               6   1      2   2   1 2           2 0 XSIG010970          (729-106-13)
RC0805FR-0710KL                  R203                               9   1      1   1   1 1           1 0 XSIG011270          (729-70-13)
RC0805FR-0710KL                  R203                               9   1      2   2   1 2           2 0 XSIG011272          (729-71-13)
RC0805FR-0710KL                  R207                              18   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-0710KL                  R207                              18   1      2   2   1 2           2 0 CL_VHI              (1172-1-13)
RC0805FR-0710KL                  R210                              17   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-0710KL                  R210                              17   1      2   2   1 2           2 0 CL_PWR              (729-13-13)
RC0805FR-0710KL                  R211                              12   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-0710KL                  R211                              12   1      2   2   1 2           2 0 XSIG011615          (1226-5-13)
RC0805FR-0710KL                  R213                              13   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-0710KL                  R213                              13   1      2   2   1 2           2 0 GK01                (729-15-13)
RC0805FR-0710KL                  R214                              14   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-0710KL                  R214                              14   1      2   2   1 2           2 0 XSIG011613          (1226-4-13)
RC0805FR-0710KL                  R216                              15   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-0710KL                  R216                              15   1      2   2   1 2           2 0 GK02                (729-16-13)
RC0805FR-0710KL                  R218                              16   1      1   1   1 1           1 0 XSIG011246          (729-66-13)
RC0805FR-0710KL                  R218                              16   1      2   2   1 2           2 0 XSIG011248          (729-67-13)
RC0805FR-0710KL                  R223                              10   1      1   1   1 1           1 0 GND                 (729-26-13)
